SITE,tree.num_PICMAR,tree.num_BETNEO,tree.num_PICGLA,tree.num_POPBAL,tree.num_POPTRE,tree.num_PICEA,density_LARLAR,density_PICMAR,density_BETNEO,density_PICGLA,density_POPBAL,density_POPTRE,density_PICEA,ba_LARLAR,ba_PICMAR,ba_BETNEO,ba_PICGLA,ba_POPBAL,ba_POPTRE,ba_PICEA,bio_LARLAR,bio_PICMAR,bio_BETNEO,bio_PICGLA,bio_POPBAL,bio_POPTRE,bio_PICEA,decid.dens,conif.dens,decid.ba,conif.ba,decid.bio,conif.bio,rel.conif.dens,rel.conif.bio,rel.decid.dens,rel.decid.bio,D.Index,Class
FP2B,0,0,3.1333333333333333,4.533333333333333,0,0,0,0,0,0.03133333333333333,0.04533333333333334,0,0,0,0,0,2.7682591,2.73248743,0,0,0,0,0,946.6029325201004,1080.238978641394,0,0,0.04533333333333334,0.03133333333333333,2.73248743,2.7682591,1080.238978641394,946.6029325201004,0.3355218855218855,0.45129490588825083,0.6644781144781144,0.5487050941117492,0.6065916042949319,Mixed
FP2C,0,0,0,14.5,0,0,0,0,0,0,0.145,0,0,0,0,0,0,29.05867572083333,0,0,0,0,0,0,11393.197150095739,0,0,0.145,0,29.05867572083333,0,11393.197150095739,0,0,0,1,1,1,Decid
FP3A,0,0,3.6333333333333333,1.8333333333333333,0,0,0,0,0,0.036333333333333336,0.018333333333333333,0,0,0,0,0,23.27144294,10.987144593333333,0,0,0,0,0,11438.824852594054,5012.207838457341,0,0,0.018333333333333333,0.036333333333333336,10.987144593333333,23.27144294,5012.207838457341,11438.824852594054,0.5823809523809524,0.6236715637584335,0.4176190476190476,0.37632843624156653,0.3969737419303071,Mixed
FP3B,0,0,3.5833333333333335,1.5,0,0,0,0,0,0.035833333333333335,0.015,0,0,0,0,0,16.7687950875,7.1677922333333335,0,0,0,0,0,7812.5451173879155,3296.4136780512704,0,0,0.015,0.035833333333333335,7.1677922333333335,16.7687950875,3296.4136780512704,7812.5451173879155,0.7255291005291006,0.6974090200174178,0.2744708994708995,0.30259097998258216,0.2885309397267408,Spruce
FP3C,0,0,33.416666666666664,2,0,0,0,0,0,0.33416666666666667,0.02,0,0,0,0,0,32.448677708333335,5.713838279166667,0,0,0,0,0,11463.01527738676,2353.3220382923323,0,0,0.02,0.33416666666666667,5.713838279166667,32.448677708333335,2353.3220382923323,11463.01527738676,0.9432026678555994,0.8292024411935959,0.056797332144400685,0.17079755880640418,0.11379744547540244,Spruce
FP4A,0,0.4827586206896552,2.413793103448276,0.034482758620689655,0,0,0,0,0.004827586206896552,0.02413793103448276,3.448275862068966e-4,0,0,0,0,0.7640775189655172,26.68485542777586,0.02393337241379311,0,0,0,0,354.6863477754528,14699.901376077225,7.802408344033688,0,0,0.005172413793103448,0.02413793103448276,0.7880108913793104,26.68485542777586,362.48875611948654,14699.901376077225,0.8172413793103448,0.9119767873460777,0.18275862068965518,0.08802321265392234,0.13539091667178876,Spruce
FP4B,0,0.8666666666666667,3.7333333333333334,0,0,0,0,0,0.008666666666666666,0.037333333333333336,0,0,0,0,0,2.451600485,28.05953674,0,0,0,0,0,1295.8676712213032,14390.217489800993,0,0,0,0.008666666666666666,0.037333333333333336,2.451600485,28.05953674,1295.8676712213032,14390.217489800993,0.8018803418803419,0.9014215090712141,0.19811965811965812,0.09857849092878584,0.148349074524222,Spruce
FP4C,0,0.10344827586206896,4.172413793103448,0,0,0,0,0,0.0010344827586206897,0.04172413793103448,0,0,0,0,0,0.04806447413793103,36.30505158620689,0,0,0,0,0,19.40161200928443,19230.792038449166,0,0,0,0.0010344827586206897,0.04172413793103448,0.04806447413793103,36.30505158620689,19.40161200928443,19230.792038449166,0.9683908045977011,0.9986918203143098,0.03160919540229885,0.0013081796856901572,0.016458687543994502,Spruce
FP5A,13,0.16666666666666666,0.08333333333333333,0,0,0,0,0.13,0.0016666666666666668,8.333333333333334e-4,0,0,0,0,13.757967041666667,0.02831072916666667,0.14337993333333335,0,0,0,0,3168.2101101855706,9.240818154890144,51.90242050600289,0,0,0,0.0016666666666666668,0.13083333333333333,0.02831072916666667,13.901346975,9.240818154890144,3220.1125306915737,0.9814814814814815,0.9974236721247434,0.018518518518518528,0.0025763278752566434,0.010547423196887585,Spruce
FP5B,1.3333333333333333,9.916666666666666,4.916666666666667,0,0,0,8.333333333333334e-4,0.013333333333333332,0.09916666666666667,0.049166666666666664,0,0,0,0.09114418333333334,0.38307525833333333,2.9965057625,10.7194043,0,0,0,25.67870640042349,96.3679147994669,1185.8449263116008,4311.431422996455,0,0,0,0.09916666666666667,0.0625,2.9965057625,11.102479558333334,1185.8449263116008,4407.799337795922,0.3933646908844053,0.7857198587188773,0.6066353091155947,0.2142801412811227,0.4104577251983587,Mixed
FP5D,30.666666666666668,0.5833333333333334,0,0,0,0,0.004166666666666667,0.30666666666666664,0.005833333333333334,0,0,0,0,0.05888631666666667,7.937902979166666,0.07304495416666665,0,0,0,0,14.575352943065853,1998.9365763881603,23.388355855873318,0,0,0,0,0.005833333333333334,0.30666666666666664,0.07304495416666665,7.937902979166666,23.388355855873318,1998.9365763881603,0.9758471814923427,0.98735490324993,0.024152818507657225,0.012645096750070028,0.018398957628863625,Spruce
GRI1,16.5,3.5,0.08333333333333333,0,0,0,0,0.165,0.035,8.333333333333334e-4,0,0,0,0,2.2828216709999998,1.0152783875,0.012103245833333331,0,0,0,0,620.5459546834425,375.9109215017064,2.6722912422846865,0,0,0,0.035,0.16583333333333333,1.0152783875,2.294924916833333,375.9109215017064,623.2182459257272,0.8124963851937537,0.6638359702909494,0.18750361480624636,0.33616402970905057,0.2618338222576485,Spruce
GRI2,0.5833333333333334,4.75,0.4166666666666667,0,32.083333333333336,0,0,0.005833333333333334,0.0475,0.004166666666666667,0,0.32083333333333336,0,0,0.09878317083333332,5.904001283333333,0.10220009583333334,0,26.151389666666667,0,0,26.211492012281933,2644.6604770318013,25.694679298661338,0,8612.27700833359,0,0.36833333333333335,0.01,32.055390949999996,0.20098326666666666,11256.937485365394,51.90617131094327,0.02279067551926858,0.005126525350185303,0.9772093244807314,0.9948734746498147,0.986041399565273,Decid
GRI3,13.416666666666666,3.25,1.1666666666666667,0,16.333333333333332,0,0,0.13416666666666666,0.0325,0.011666666666666667,0,0.16333333333333333,0,0,4.572676970833333,5.345059120833334,0.46528437916666665,0,24.652832404166666,0,0,1147.1899127847873,2526.1915450181655,138.1851995896616,0,8736.741716482858,0,0.19583333333333333,0.14583333333333334,29.997891525,5.03796135,11262.933261501023,1285.375112374449,0.39747528746805877,0.10164940543453399,0.6025247125319412,0.898350594565466,0.7504376535487036,Decid
GRI4,30.583333333333332,24.25,1.25,0,6.75,0,0,0.30583333333333335,0.2425,0.0125,0,0.0675,0,0,7.733684827125,19.966788145833334,0.25869133333333333,0,3.4423031958333334,0,0,1967.9274776717173,8528.478324961665,63.74359266043799,0,1056.8797414650371,0,0.31,0.31833333333333336,23.409091341666667,7.992376160458333,9585.358066426701,2031.6710703321553,0.4572752903544752,0.19172414979427238,0.5427247096455248,0.8082758502057277,0.6755002799256262,Decid
GRI5,2.1666666666666665,0.9166666666666666,2.25,0,22.416666666666668,0,0,0.021666666666666667,0.009166666666666667,0.022500000000000003,0,0.22416666666666665,0,0,1.4639167124999999,1.3215579291666666,0.4726418958333333,0,25.951421004166665,0,0,338.57740231518846,616.1523483758249,120.53533985679056,0,8933.26999794248,0,0.23333333333333334,0.04416666666666667,27.27297893333333,1.9365586083333333,9549.422346318304,459.112742171979,0.15378891104203227,0.04944463170403848,0.8462110889579677,0.9505553682959615,0.8983832286269646,Decid
GRI6,26.916666666666668,0.9166666666666666,0.5,0,20.083333333333332,0,0,0.26916666666666667,0.009166666666666667,0.005,0,0.20083333333333334,0,0,8.656681299999999,1.2131327458333332,0.0868566625,0,19.234603958333334,0,0,2025.501558444076,578.4565835834203,20.341812519005103,0,6471.060824344167,0,0.21000000000000002,0.27416666666666667,20.447736704166665,8.7435379625,7049.517407927587,2045.843370963081,0.5377223865624887,0.21810865701610316,0.4622776134375113,0.7818913429838968,0.622084478210704,Mixed
GRI7,1,2.3333333333333335,2.0833333333333335,0.25,22.833333333333332,0,0,0.01,0.023333333333333334,0.020833333333333332,0.0025,0.22833333333333333,0,0,0.29753430833333333,6.278900795833333,0.3394931,0.15703454166666667,24.397623454166666,0,0,75.86648368604142,3168.7856070389985,80.99200033520788,50.955571677917504,8312.61642342636,0,0.25416666666666665,0.030833333333333334,30.833558791666665,0.6370274083333333,11532.357602143276,156.8584840212493,0.11004449555819609,0.014719266271349653,0.8899555044418039,0.9852807337286503,0.9376181190852271,Decid
GRM1,70.66666666666667,0,0,0,0,0,0,0.7066666666666667,0,0,0,0,0,0,16.338000704166667,0,0,0,0,0,0,4198.35635128553,0,0,0,0,0,0,0.7066666666666667,0,16.338000704166667,0,4198.35635128553,1,1,0,0,0,Spruce
GRM2,73.58333333333333,0,0,0,0,0,0,0.7358333333333333,0,0,0,0,0,0,40.08723318333333,0,0,0,0,0,0,9655.12273096452,0,0,0,0,0,0,0.7358333333333333,0,40.08723318333333,0,9655.12273096452,1,1,0,0,0,Spruce
GRM3,15.916666666666666,0,0.08333333333333333,0,0,0,0,0.15916666666666668,0,8.333333333333334e-4,0,0,0,0,2.7142101541666666,0,0.0071284124999999995,0,0,0,0,716.881976919972,0,1.4157707995573034,0,0,0,0,0.16,0,2.7213385666666667,0,718.2977477195292,1,1,0,0,0,Spruce
GRM4,42.833333333333336,0.08333333333333333,0,0,0,0,0,0.42833333333333334,8.333333333333334e-4,0,0,0,0,0,11.4207968875,0.10064873333333335,0,0,0,0,0,2906.369193739011,43.65908848919431,0,0,0,0,8.333333333333334e-4,0.42833333333333334,0.10064873333333335,11.4207968875,43.65908848919431,2906.369193739011,0.9986111111111111,0.9877824005478857,0.0013888888888888933,0.012217599452114305,0.006803244170501599,Spruce
