Site,Core,Bag,Top_cm,Bottom_cm,Horizon1,Horizon2,SiteAge,BurnYear,AvgPithYear,Orientation,Date_processed,Date_sampled,Burned,Ice1,Ice2,Ice_cm,Macrofossil_bag,Roots,Color,Texture,BagID_A,BagID_B,Bag_mass_g,Wet_g,Dry_g,%SoilMoisture,Thickness_cm,Diameter_cm,Height_cm,Volume_cm3,BulkDensity_g/cm3,Comments
Apex Beta,1,6,149.9,153.1,B,NA,Mature,NA,1938,NA,1/22/16 0:53,4/9/15,No,Pnv,Bxc,0.4,NA,NA,2.5y 3/1,SiL,2442,2443,4.94,88.312,48.108,48.22,3.2,7.3,3.7,68.1,0.633573596,
Apex Beta,1,6,153.1,154.8,B,NA,Mature,NA,1938,NA,1/22/16 0:55,4/9/15,No,Pnv,Bxl,0.8,NA,NA,2.5y 3/1,SiL,2444,2445,4.948,31.841,15.227,61.78,1.7,NA,NA,NA,NA,
Apex Beta,2,1,0,1.7,L,NA,Mature,NA,1938,NA,1/18/16 22:54,4/9/15,No,Onv,NA,0,NA,1v,NA,NA,2342,2343,4.925,17.629,5.76,93.43,1.7,NA,NA,NA,NA,Bright red sphagnum
Apex Beta,2,1,1.7,4.3,D,NA,Mature,NA,1938,NA,1/18/16 23:06,4/9/15,No,Onv,NA,0,M286,3v,NA,NA,2344,2345,4.941,34.295,6.233,95.60,2.6,6.9,3.4,47.7,0.027078188,
Apex Beta,2,1,4.3,6.7,D,NA,Mature,NA,1938,NA,1/18/16 23:08,4/9/15,No,Onv,NA,0,NA,3v,NA,NA,2346,2347,4.951,24.231,5.906,95.05,2.4,NA,NA,NA,NA,Core break
Apex Beta,2,1,6.7,9.6,D,NA,Mature,NA,1938,NA,1/18/16 23:11,4/9/15,No,Onv,NA,0,NA,3v,NA,NA,2348,2349,4.945,35.017,6.677,94.24,2.9,NA,NA,NA,NA,Core break
Apex Beta,2,1,9.6,13.3,D,NA,Mature,NA,1938,NA,1/18/16 23:12,4/9/15,No,Onv,NA,0,NA,3v,NA,NA,2350,2351,4.943,25.962,6.153,94.24,3.7,NA,NA,NA,NA,
Apex Beta,2,2,13.3,17.6,D,NA,Mature,NA,1938,NA,1/18/16 23:13,4/9/15,No,Onv,NA,0,NA,3v,NA,NA,2352,2353,4.913,39.439,6.817,94.49,4.3,NA,NA,NA,NA,
Apex Beta,2,2,17.6,20.4,D,NA,Mature,NA,1938,NA,1/18/16 23:15,4/9/15,No,Onv,NA,0,NA,2v,NA,NA,2354,2355,4.897,39.701,6.16,96.37,2.8,6.9,3.6,55.2,0.022860963,
Apex Beta,2,2,20.4,23.1,D,NA,Mature,NA,1938,NA,1/18/16 23:16,4/9/15,No,Onv,NA,0,NA,2v,NA,NA,2356,2357,4.909,51.508,6.135,97.37,2.7,7,3.6,53.8,0.022769554,
Apex Beta,2,2,23.1,25.9,D,NA,Mature,NA,1938,NA,1/18/16 23:17,4/9/15,No,Onv,NA,0,NA,2v,NA,NA,2358,2359,4.903,53.853,6.307,97.13,2.8,7.1,3.5,54.4,0.025792361,
Apex Beta,2,2,25.9,28.9,D,NA,Mature,NA,1938,NA,1/18/16 23:19,4/9/15,No,Onv,NA,0,NA,2v,NA,NA,2360,2361,4.912,54.956,6.653,96.52,3,7.1,3.6,60.5,0.028799305,
Apex Beta,2,2,28.9,32.1,D,NA,Mature,NA,1938,NA,1/18/16 23:20,4/9/15,No,Onv,NA,0,NA,2v,NA,NA,2362,2363,4.933,62.808,7.28,95.94,3.2,7.1,3.6,64.5,0.036397169,
Apex Beta,2,2,32.1,35,D,NA,Mature,NA,1938,NA,1/18/16 23:22,4/9/15,No,Onv,NA,0,NA,2v,NA,NA,2364,2365,4.965,55.525,7.334,95.31,2.9,7.3,3.5,57.5,0.041190327,
Apex Beta,2,2,35,39.7,M,NA,Mature,NA,1938,NA,1/18/16 23:24,4/9/15,No,Onv,NA,0,M287,2v,NA,NA,2366,2367,5.001,71.056,10.346,91.91,4.7,NA,NA,NA,NA,Bag two break.
Apex Beta,2,2,39.7,43,M,NA,Mature,NA,1938,NA,1/18/16 23:45,4/9/15,No,Onv,NA,0,NA,2v,NA,NA,2368,2369,4.999,53.02,10.213,89.14,3.3,NA,NA,NA,NA,Bag two break.
Apex Beta,2,2,43,45.8,M,NA,Mature,NA,1938,NA,1/18/16 23:47,4/9/15,No,Onv,NA,0,M288,1v,NA,NA,2370,2371,4.995,56.41,10.756,88.80,2.8,7.2,3.5,55.0,0.104773426,
Apex Beta,2,2,45.8,48.8,M,NA,Mature,NA,1938,NA,1/18/16 23:48,4/9/15,No,Onv,NA,0,NA,1v,NA,NA,2372,2373,5.008,61.711,11.626,88.33,3,7.1,3.5,58.3,0.11347169,
Apex Beta,2,2,48.8,51.9,M,NA,Mature,NA,1938,NA,1/18/16 23:49,4/9/15,No,Onv,NA,0,NA,1v,NA,NA,2374,2375,4.97,68.463,13.94,85.87,3.1,7.2,3.8,67.6,0.13275119,
Apex Beta,2,2,51.9,55,M,NA,Mature,NA,1938,NA,1/18/16 23:51,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2376,2377,4.981,63.136,14.822,83.08,3.1,7.3,3.7,66.0,0.149094855,
Apex Beta,2,2,55,58,M,NA,Mature,NA,1938,NA,1/18/16 23:53,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2378,2379,4.975,65.43,16.536,80.88,3,7.3,3.5,59.5,0.19431321,
Apex Beta,2,2,58,61.1,M,M,Mature,NA,1938,Horizontal,1/18/16 23:54,4/9/15,No,Onv,NA,0,M289,NA,NA,NA,2380,2381,4.95,68.838,16.888,81.31,3.1,7.3,3.7,66.0,0.180865195,Transitions from sedge peat to sphagnum peat
Apex Beta,2,2,61.1,64.2,M,M,Mature,NA,1938,Horizontal,1/18/16 23:55,4/9/15,No,Onv,NA,0,M290,NA,NA,NA,2382,2383,4.945,69.125,17.815,79.95,3.1,7.2,3.8,67.6,0.190469098,Transitions from sphagnum peat back into sedge peat
Apex Beta,2,2,64.2,67.3,M,NA,Mature,NA,1938,NA,1/18/16 23:57,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2384,2385,4.973,64.177,16.531,80.48,3.1,7.1,3.5,60.3,0.191779866,
Apex Beta,2,2,67.3,70.3,M,NA,Mature,NA,1938,NA,1/18/16 23:59,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2386,2387,4.999,58.397,10.002,90.63,3,7.1,3.6,60.5,0.082758716,
Apex Beta,2,2,70.3,74.2,M,NA,Mature,NA,1938,NA,1/19/16 0:00,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2388,2389,5.001,69.418,17.553,80.51,3.9,NA,NA,NA,NA,
Apex Beta,2,3,74.2,76.3,M,NA,Mature,NA,1938,NA,1/19/16 0:06,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2390,2391,4.991,39.199,12.365,78.44,2.1,NA,NA,NA,NA,
Apex Beta,2,3,76.3,79.3,M,NA,Mature,NA,1938,NA,1/19/16 0:08,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2392,2393,5.026,64.226,16.757,80.18,3,7.4,3.6,62.3,0.188320091,
Apex Beta,2,3,79.3,82.5,M,NA,Mature,NA,1938,NA,1/19/16 0:09,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2394,2395,4.99,65.791,19.882,75.51,3.2,7.2,3.8,69.7,0.213506314,
