,Site,Transect,Plot,FuelType,FuelLoad.kg.m2
538,BFY9,B,1,DeciduousLeaf,0.0251975
539,BFY9,B,2,DeciduousLeaf,0
540,BFY9,B,3,DeciduousLeaf,0
541,DCY14,A,1,DeciduousLeaf,0.01936
542,DCY14,A,2,DeciduousLeaf,0.02025
543,DCY14,A,3,DeciduousLeaf,0
544,DCY14,B,1,DeciduousLeaf,0.007305
545,DCY14,B,2,DeciduousLeaf,0.095326667
546,DCY14,B,3,DeciduousLeaf,0
547,DCY2,A,1,DeciduousLeaf,0.09
548,DCY2,A,2,DeciduousLeaf,0.18775
549,DCY2,A,3,DeciduousLeaf,0.2905
550,DCY2,B,1,DeciduousLeaf,0
551,DCY2,B,2,DeciduousLeaf,0
552,DCY2,B,3,DeciduousLeaf,0
553,DCY3,A,1,DeciduousLeaf,0
554,DCY3,A,2,DeciduousLeaf,0
555,DCY3,A,3,DeciduousLeaf,0
556,DCY3,B,1,DeciduousLeaf,0
557,DCY3,B,2,DeciduousLeaf,0
558,DCY3,B,3,DeciduousLeaf,0
559,DCY4,A,1,DeciduousLeaf,0.50325
560,DCY4,A,2,DeciduousLeaf,0
561,DCY4,A,3,DeciduousLeaf,0
562,DCY4,B,1,DeciduousLeaf,0
563,DCY4,B,2,DeciduousLeaf,0.2865
564,DCY4,B,3,DeciduousLeaf,0.419765
565,DCY9,A,1,DeciduousLeaf,0
566,DCY9,A,2,DeciduousLeaf,0
567,DCY9,A,3,DeciduousLeaf,0
568,DCY9,B,1,DeciduousLeaf,0
569,DCY9,B,2,DeciduousLeaf,0
570,DCY9,B,3,DeciduousLeaf,0
571,DDM2,A,1,DeciduousLeaf,0
572,DDM2,A,2,DeciduousLeaf,0
573,DDM2,A,3,DeciduousLeaf,0
574,DDM2,B,3,DeciduousLeaf,0
575,DDM2,B,2,DeciduousLeaf,0
576,DDM2,B,1,DeciduousLeaf,0
577,GRI1,A,1,DeciduousLeaf,0.1022475
578,GRI1,A,2,DeciduousLeaf,0
579,GRI1,A,3,DeciduousLeaf,0
580,GRI1,B,1,DeciduousLeaf,0.0325775
581,GRI1,B,2,DeciduousLeaf,0
582,GRI1,B,3,DeciduousLeaf,0
583,GRM3,A,1,DeciduousLeaf,0
584,GRM3,A,2,DeciduousLeaf,0.138845
585,GRM3,A,3,DeciduousLeaf,0
586,GRM3,B,1,DeciduousLeaf,0.0715725
587,GRM3,B,2,DeciduousLeaf,0.1188275
588,GRM3,B,3,DeciduousLeaf,0.07471
589,GRM4,A,1,DeciduousLeaf,0.00374
590,GRM4,A,2,DeciduousLeaf,0
591,GRM4,A,3,DeciduousLeaf,0.0269225
592,GRM4,B,1,DeciduousLeaf,0.0136375
593,GRM4,B,2,DeciduousLeaf,0
594,GRM4,B,3,DeciduousLeaf,0.01947
595,GSI1,A,1,DeciduousLeaf,0.0215
596,GSI1,A,2,DeciduousLeaf,0.05825
597,GSI1,A,3,DeciduousLeaf,0
598,GSI1,B,1,DeciduousLeaf,0
599,GSI1,B,2,DeciduousLeaf,0.0085
600,GSI1,B,3,DeciduousLeaf,0
601,GSI2,A,1,DeciduousLeaf,0
