Site,Crew,Core_number,Bag_number,Top_depth,Bottom_depth,Notes,Date,Creation_timestamp,Device::Device_name
GS-3,"jh, sf, qd",2,1,0,3,moss layer,04/02/2015,04/02/2015 14:14:48,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",2,2,3,37,,04/02/2015,04/02/2015 14:15:19,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",2,3,37,69,,04/02/2015,04/02/2015 14:15:47,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",2,4,69,78,,04/02/2015,04/02/2015 14:38:26,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",3,1,0,18,,04/02/2015,04/02/2015 14:39:58,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",3,2,18,41,,04/02/2015,04/02/2015 14:40:47,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",3,3,41,76,,04/02/2015,04/02/2015 14:58:13,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",4,1,0,15,"not much moss
",04/02/2015,04/02/2015 15:00:10,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",4,2,15,70,,04/02/2015,04/02/2015 15:39:30,KONESS (Shalane's Desktop)
MD-3,sf ko,1,1,0,15,,04/24/2015,04/24/2015 13:05:22,Shalane's iPad
MD-3,sf ko,1,2,15,28,,04/24/2015,04/24/2015 13:06:18,Shalane's iPad
MD-3,sf ko,1,3,28,57,,04/24/2015,04/24/2015 13:06:26,Shalane's iPad
MD-3,sf ko,2,1,0,34,top to mineral,04/24/2015,04/24/2015 13:28:59,Shalane's iPad
MD-3,sf ko,2,2,34,52,,04/24/2015,04/24/2015 13:29:21,Shalane's iPad
MD-3,sf ko,2,3,52,55,,04/24/2015,04/24/2015 13:29:30,Shalane's iPad
MD-3,sf ko,2,4,55,87,bit of ice on bottom,04/24/2015,04/24/2015 13:29:36,Shalane's iPad
MD-3,sf ko,3,1,0,15,,04/24/2015,04/24/2015 13:50:37,Shalane's iPad
MD-3,sf ko,3,2,15,30,,04/24/2015,04/24/2015 13:50:43,Shalane's iPad
MD-3,sf ko,3,3,30,47,,04/24/2015,04/24/2015 13:50:53,Shalane's iPad
MD-3,sf ko,3,4,47,53,crumbly pieces,04/24/2015,04/24/2015 13:51:04,Shalane's iPad
MD-3,sf ko,3,5,53,77,,04/24/2015,04/24/2015 13:51:30,Shalane's iPad
MD-8,sf ko,1,1,0,12,,04/24/2015,04/24/2015 11:35:47,Shalane's iPad
MD-8,sf ko,1,2,12,35,,04/24/2015,04/24/2015 11:38:35,Shalane's iPad
MD-8,sf ko,1,3,35,38,,04/24/2015,04/24/2015 11:38:50,Shalane's iPad
MD-8,sf ko,1,4,38,45,,04/24/2015,04/24/2015 11:39:09,Shalane's iPad
MD-8,sf ko,1,5,45,92,some rocks in here,04/24/2015,04/24/2015 11:39:40,Shalane's iPad
MD-8,sf ko,2,1,0,17,,04/24/2015,04/24/2015 11:48:50,Shalane's iPad
MD-8,sf ko,2,2,17,23,,04/24/2015,04/24/2015 11:49:51,Shalane's iPad
MD-8,sf ko,2,3,23,26,rocks,04/24/2015,04/24/2015 11:50:00,Shalane's iPad
MD-8,sf ko,2,4,26,52,,04/24/2015,04/24/2015 11:50:12,Shalane's iPad
MD-8,sf ko,2,5,52,54,,04/24/2015,04/24/2015 11:50:26,Shalane's iPad
Nenana Ridge,jh ko,1,1,0,6,,04/15/2015,04/15/2015 10:23:34,Jamie's iPad 
Nenana Ridge,jh ko,1,2,6,63,,04/15/2015,04/15/2015 10:25:24,Jamie's iPad 
Nenana Ridge,jh ko,1,3,63,94,,04/15/2015,04/15/2015 10:28:04,Jamie's iPad 
Nenana Ridge,jh ko,2,1,0,26,,04/15/2015,04/15/2015 10:58:25,Jamie's iPad 
Nenana Ridge,jh ko,2,2,26,38,,04/15/2015,04/15/2015 10:59:00,Jamie's iPad 
Nenana Ridge,jh ko,2,3,38,51,top is 1 cm disk,04/15/2015,04/15/2015 10:59:36,Jamie's iPad 
Nenana Ridge,jh ko,2,4,51,84,,04/15/2015,04/15/2015 11:00:53,Jamie's iPad 
Nenana Ridge,jh ko,2,5,84,103,,04/15/2015,04/15/2015 11:01:12,Jamie's iPad 
Nenana Ridge,jh ko,3,1,0,10,,04/15/2015,04/15/2015 11:36:13,Jamie's iPad 
Nenana Ridge,jh ko,3,2,10,30,,04/15/2015,04/15/2015 11:37:22,Jamie's iPad 
Nenana Ridge,jh ko,3,3,30,43,,04/15/2015,04/15/2015 11:37:33,Jamie's iPad 
Nenana Ridge,jh ko,3,4,43,67,,04/15/2015,04/15/2015 11:37:51,Jamie's iPad 
Nenana Ridge,jh ko,3,5,67,86,,04/15/2015,04/15/2015 11:38:15,Jamie's iPad 
