"fire_scar","fire_year","site","plot","tree.age","biomass.as","biomass.br","biomass.bp","biomass.bs","biomass.ws","biomass.unk.con","biomass","biomass.con","biomass.dec","density.as","density.br","density.bp","density.bs","density.ws","density.unk.con","density","study","cores_processed","postfire.age"
"Hess Creek",2019,10,"C",87,3072.52300497285,1036.04803792186,0,0,0,0,4108.57104289471,0,4108.57104289471,0.15,0.1,0,0,0,0,0.25,"FiSL","1",3
"Aggie Creek",2015,48,"A",88,4992.74013126457,0,0,2448.53358353092,0,0,7441.27371479549,2448.53358353092,4992.74013126457,0.2,0,0,0.3,0,0,0.5,"FiSL","1",7
"Aggie Creek",2015,48,"B",37,3071.02435281759,0,0,219.205275742336,0,0,3290.22962855992,219.205275742336,3071.02435281759,0.3,0,0,0.1,0,0,0.4,"FiSL","1",7
"Aggie Creek",2015,48,"C",102,6465.79734601851,0,0,2542.44144298353,0,0,9008.23878900204,2542.44144298353,6465.79734601851,0.25,0,0,0.3,0,0,0.55,"FiSL","1",7
"Hess Creek",2019,11,"A",89,20266.3437315053,5696.48725342207,0,0,0,0,25962.8309849274,0,25962.8309849274,0.75,0.1,0,0,0,0,0.85,"FiSL","1",3
"Hess Creek",2019,11,"B",84,8740.54446558888,0,0,666.468363951193,0,0,9407.01282954007,666.468363951193,8740.54446558888,0.2,0,0,0.05,0,0,0.25,"FiSL","1",3
"Hess Creek",2019,11,"C",90,0,11865.9887086813,0,0,0,0,11865.9887086813,0,11865.9887086813,0,0.3,0,0,0,0,0.3,"FiSL","1",3
"Aggie Creek",2015,45,"A",38,0,20589.4529621584,0,0,0,0,20589.4529621584,0,20589.4529621584,0,0.35,0,0,0,0,0.35,"FiSL","1",7
"Aggie Creek",2015,45,"B",39,0,14330.3232808257,0,16.1747802765531,0,0,14346.4980611023,16.1747802765531,14330.3232808257,0,0.3,0,0.05,0,0,0.35,"FiSL","1",7
"Aggie Creek",2015,45,"C",84,0,9845.1895688752,0,1496.11891354669,0,0,11341.3084824219,1496.11891354669,9845.1895688752,0,0.4,0,0.25,0,0,0.65,"FiSL","1",7
"2019BC005",2019,65,"A",87,2825.46848276221,5377.97205963881,0,310.433527193008,0,0,8513.87406959403,310.433527193008,8203.44054240103,0.05,0.25,0,0.2,0,0,0.5,"FiSL","1",3
"2019BC005",2019,65,"B",84,0,0,0,1769.7599817989,0,0,1769.7599817989,1769.7599817989,0,0,0,0,0.1,0,0,0.1,"FiSL","1",3
"2019BC005",2019,65,"C",78,3096.6112201977,0,0,315.709242667174,0,0,3412.32046286487,315.709242667174,3096.6112201977,0.05,0,0,0.3,0,0,0.35,"FiSL","1",3
